timestamp,vehicle_id,vehicle_type,total_count
2026-03-15 10:00:36,5,car,1
2026-03-15 10:00:37,41,car,2
2026-03-15 10:00:41,35,car,3
2026-03-15 10:00:42,9,car,4
2026-03-15 10:00:44,26,car,5
2026-03-15 10:00:57,18,car,6
2026-03-15 10:01:04,51,car,7
2026-03-15 10:01:11,27,car,8
2026-03-15 10:01:17,76,bus,9
2026-04-10 12:50:25,5,car,1
2026-04-10 12:50:27,41,car,2
2026-04-10 12:50:43,35,car,3
2026-04-10 12:50:50,9,car,4
2026-04-10 12:51:00,26,car,5
2026-04-10 12:51:51,18,car,6
2026-04-10 12:52:23,51,car,7
2026-04-10 12:52:50,27,car,8
2026-04-10 13:17:10,76,bus,9
